Date,Event Description
1918,July 16 – 17: Assassination of Tsar Nicholas II and his family.
1918,August 8 – 12: Battle of Amiens.
1918,August–November: The Hundred Days Offensive sends Germany into defeat.
1918,"October: the State of Slovenes, Croats and Serbs is established."
1918,October 29: German Revolution begins.
1918,"October 30:
The Mutawakkilite Kingdom of Yemen founded.
The Partition of the Ottoman Empire begins."
1918,The Mutawakkilite Kingdom of Yemen founded.
1918,The Partition of the Ottoman Empire begins.
1918,"November 1:
Independence declared in the West Ukrainian People's Republic.
The Polish–Ukrainian War begins."
1918,Independence declared in the West Ukrainian People's Republic.
1918,The Polish–Ukrainian War begins.
1918,November 9: Abdication of Wilhelm II.
1918,"November 11:
The Armistice of 11 November 1918 ends World War I.
Poland declares independence from Russia."
1918,The Armistice of 11 November 1918 ends World War I.
1918,Poland declares independence from Russia.
1918,"December 1: The Kingdom of Iceland, a personal union with Denmark, is formed."
1918,The British occupy Palestine.
1918,The Mutawakkilite Kingdom of Yemen founded.
1918,The Partition of the Ottoman Empire begins.
1918,Independence declared in the West Ukrainian People's Republic.
1918,The Polish–Ukrainian War begins.
1918,The Armistice of 11 November 1918 ends World War I.
1918,Poland declares independence from Russia.
1919,Paris Peace Conference writes Treaty of Versailles that punishes Germany.
1919,January 21: The First Red Scare in the United States. Irish War of Independence begins.
1919,February 14: Polish–Soviet War begins.
1919,March 2: Communist International established in the Kremlin to coordinate Communist parties worldwide.
1919,April 11: The International Labour Organization is established.
1919,"April 13: The Jallianwala Bagh massacre in northern India: Acting Brigadier-General Reginald Dyer orders troops of the British Indian Army to fire their rifles into a crowd of unarmed Indian civilians, killing from 379 to 1,000 people and injuring another 1,500."
1919,May 19: Turkish War of Independence begins.
1919,June 28: The Treaty of Versailles redraws European borders.
1919,July: The 1919 Egyptian revolution erupts.
1919,July 18: End of Polish–Ukrainian War.
1919,August 11: German Revolution ends with the collapse of the German Empire and the establishment of the Weimar Republic.
1919,"November 19: Release date of Feline Follies, the first appearance of Felix the Cat (then known as Master Tom)."
1919,First experimental evidence for the General theory of relativity obtained by Arthur Eddington.
1919,Ernest Rutherford discovers the proton.
1920,January 10: League of Nations founded.
1920,January 17: Prohibition in the United States begins.
1920,February 2: Victory for Estonia in the Estonian War of Independence.
1920,April 25: Mandatory Palestine established.
1920,April 27 – 28: Red Army invasion of Azerbaijan and Armenia ends the Armenian–Azerbaijani War and concludes with their incorporation into the Soviet Union.
1920,September 5: Mahatma Gandhi launches Non-cooperation movement.
1920,December 1: Mexican Revolution ends.
1920,Greece restores its monarchy after a referendum.
1921,Russian famine of 1921–1922 begins.
1921,"January 25: Premiere of the science-fiction play R.U.R. (Rossum's Universal Robots), in which the word ""robot"" was first used."
1921,February – March: Russia invades Georgia and incorporates it into the Soviet Union.
1921,March 4: Warren G. Harding is inaugurated as President of the United States.
1921,March 18: End of the Polish–Soviet War.
1921,July 29: Adolf Hitler becomes Führer of the Nazi Party as hyperinflation in the Weimar Republic begins.
1921,November 9: The Italian National Fascist Party is established by Benito Mussolini.
1921,November 17: End of the Ukrainian–Soviet War.
1921,December 15: Coup brings the Pahlavi dynasty to power in Iran.
1922,February 2: James Joyce publishes Ulysses.
1922,"February 6:
Pius XI becomes Pope.
The Washington Naval Treaty is signed."
1922,Pius XI becomes Pope.
1922,The Washington Naval Treaty is signed.
1922,"February 28: Egypt gains independence from the United Kingdom, though British forces still occupy the Suez Canal."
1922,June 28: The Irish Civil War begins.
1922,October 23: Conservative Bonar Law becomes Prime Minister of the United Kingdom.
1922,October 28: March on Rome brings Benito Mussolini to power in Italy.
1922,November 1: Ottoman Sultanate abolished by the Grand National Assembly of Turkey; Sultan Mehmed VI is deposed.
1922,November 4: Howard Carter discovers the Tomb of Tutankhamun.
1922,November 14: British Broadcasting Corporation (BBC) established.
1922,"December 6: Irish Free State is established, while the Province of Northern Ireland is created within The United Kingdom."
1922,"December 16: Gabriel Narutowicz, President of Poland, is assassinated."
1922,"December 30: The Union of Soviet Socialist Republics (USSR), the world's first officially Communist state, is formed."
1922,"The union of Costa Rica, Guatemala, Honduras and El Salvador is dissolved."
1922,Mohandas Gandhi calls off Non-cooperation movement.
1922,Pius XI becomes Pope.
1922,The Washington Naval Treaty is signed.
1923,January 26: The Italian reconquest of Libya begins.
1923,March 3: Time Magazine is first published.
1923,May 22: Stanley Baldwin becomes Prime Minister of the United Kingdom.
1923,May 24: The Irish Civil War ends.
1923,June 9: A military coup ousts and kills Bulgarian Prime Minister Aleksandar Stamboliyski.
1923,June 16: End of Russian Civil War.
1923,August 2: Death of Warren G. Harding; Vice President Calvin Coolidge assumes office as President of the United States.
1923,"September 1: The Great Kantō earthquake kills at least 105,000 people in Japan."
1923,October 11: Turkish War of Independence ends; Ankara replaces Istanbul as its capital.
1923,October 16: The Walt Disney Company is founded.
1923,October 29: Mustafa Kemal Atatürk becomes the first President of the newly established Republic of Turkey.
1923,"November 8: The Beer Hall Putsch, an attempt to overthrow the Weimar Republic, ends in failure and brief imprisonment for Adolf Hitler but brings the Nazi Party to national attention."
1923,November 15: Hyperinflation in the Weimar Republic ends with the introduction of the Rentenmark.
1924,January 21: The death of Vladimir Lenin triggers power struggle between Leon Trotsky and Joseph Stalin.
1924,January 22: Ramsay MacDonald becomes Prime Minister of the United Kingdom; first Labour Party prime minister.
1924,"January 25 – February 5: The first edition of the Winter Olympic Games is hosted in Chamonix, France."
1924,February 12: Rhapsody in Blue by George Gershwin premieres in New York City.
1924,March 3: The Caliphate is abolished by Kemal Atatürk.
1924,"May 24: Immigration Act of 1924 significantly restricts immigration from Asia, the Middle East, and Southern Europe to USA."
1924,August 28: The August Uprising in Georgia against Soviet rule.
1924,November 4: Conservative Stanley Baldwin becomes Prime Minister of the United Kingdom.
1925,January 3: Benito Mussolini delivers a speech to begin his dictatorship.
1925,March – April: First televisual image introduced by John Logie Baird.
1925,July 18: Hitler's Mein Kampf is published.
1925,October 5 – 16: Locarno Treaties signed.
1925,Saudi conquest of Hejaz.
1925,Serum run to Nome.
1926,May 12 – 14: May Coup in Poland.
1926,May 28: 28 May 1926 coup d'état in Portugal.
1926,June 19: National Broadcasting Company (NBC) founded in New York City.
1926,"July 1: The Kuomintang begins the Northern Expedition, a military unification campaign in northern China."
1926,August 22: General Georgios Kondylis overthrows General Theodoros Pangalos in Greece.
1926,"December 25: Emperor Taishō dies; his son, the Emperor Shōwa (Hirohito) becomes Emperor of Japan."
1927,January 1: The BBC is granted a Royal charter in the United Kingdom.
1927,May: The Parliament of Australia convenes in Canberra for the first time.
1927,May 13: The United Kingdom of Great Britain and Ireland officially becomes the United Kingdom of Great Britain and Northern Ireland.
1927,"May 18: The Bath School disaster, a series of violent attacks by Andrew Kehoe results in 45 deaths in Michigan, USA."
1927,May 20: Saudi Arabia gains independence.
1927,May 20 – 21: Charles Lindbergh performs the first nonstop flight from New York City to Paris; becomes a world hero.
1927,August 1: The Chinese Civil War begins.
1927,September 18: Columbia Broadcasting System (CBS) founded in New York City.
1927,"October 4: Mount Rushmore construction begins in South Dakota, U.S."
1927,"October 6: The Jazz Singer, the first ""talkie"", is released."
1927,November 12: Soviet general secretary Joseph Stalin becomes dictator of the Soviet Union.
1927,World population reaches two billion.
1928,March 22: Hassan al-Banna founds the Muslim Brotherhood.
1928,July 24: The Kellogg–Briand Pact is signed in Paris.
1928,September 1: King Zog I is crowned in Albania.
1928,September 3: Accidental rediscovery of penicillin by Alexander Fleming.
1928,November 14: Afghan Civil War (1928–1929) begins.
1928,"November 18: Steamboat Willie, is the first appearance of Mickey Mouse."
1928,December 29: The Warlord Era ends in China.
1928,Malta becomes a British Dominion.
1928,Chinese famine of 1928–1930 begins.
1928,Bubble gum is invented.
1929,February: Leon Trotsky is exiled.
1929,"February 11: Pope Pius XI signs the Lateran Treaty with Italian leader Benito Mussolini, after which the Vatican City is recognised as a sovereign state."
1929,"February 14: Saint Valentine's Day Massacre, the murder of seven members and associates of Chicago's North Side Gang."
1929,March 4: Herbert Hoover is inaugurated as President of the United States.
1929,May 16: The first Academy Awards are presented.
1929,June 5: Ramsay MacDonald becomes Prime Minister of the United Kingdom.
1929,October 24 – 29: Wall Street Crash of 1929 and the beginning of the Great Depression.
1929,First people sent to the gulag in the Soviet Union as Stalin assumes effective control.
1930,February 18: Clyde Tombaugh discovers Pluto.
1930,March 12: Salt March by Mohandas Gandhi and the official start of civil disobedience in British India.
1930,April 2: Haile Selassie becomes Emperor of Abyssinia.
1930,"April 19: Sinkin' in the Bathtub, the first Looney Tunes short, is released."
1930,May 27: Construction of Chrysler Building completed.
1930,"August 4: King Kullen, widely regarded as the first supermarket, opens in Queens, New York City."
1930,"September 14: Aided by the Great Depression, the Nazi Party increases its share of the vote from 2.6% to 18.3%."
1930,"November: First Round Table Conference between India and Great Britain, which goes until January 1931."
1930,November 3: The Vargas Era begins in Brazil.
1930,Soviet famine of 1930–1933 and Holodomor begin.
1931,February 12: Vatican Radio first began broadcasting.
1931,"March 3: ""The Star-Spangled Banner"" is adopted as the United States's national anthem."
1931,April 14: The Second Spanish Republic is declared.
1931,May 1: Empire State Building completed.
1931,June: Floods in China kill up to 2.5 million people.
1931,"September: Japan invades Manchuria, part of the chain of events leading to the start of World War II."
1931,"October 5: Clyde Pangborn and Hugh Herndon Jr. complete the first non-stop flight across the Pacific Ocean in their plane, Miss Veedol, in 41½ hours."
1931,November 7: The Chinese Soviet Republic is proclaimed by Mao Zedong.
1931,"December 11:
Statute of Westminster creates the British Commonwealth of Nations.
Independence of South Africa."
1931,Statute of Westminster creates the British Commonwealth of Nations.
1931,Independence of South Africa.
1931,December 12: Christ the Redeemer completed.
1931,Statute of Westminster creates the British Commonwealth of Nations.
1931,Independence of South Africa.
1932,March 1: Lindbergh kidnapping.
1932,March 9: Éamon de Valera becomes President of the Executive Council (prime minister) of the Irish Free State.
1932,June 4: Military coup in Chile.
1932,June 24: Siamese Revolution establishes a constitutional monarchy.
1932,September 9: The Chaco War between Bolivia and Paraguay begins.
1932,"November – December: Failed Emu War in Australia.
Third Round Table Conference."
1932,Third Round Table Conference.
1932,December 19: BBC World Service starts broadcasting.
1932,The neutron is discovered by James Chadwick.
1932,The Nazi party becomes the largest single party in the German parliament.
1932,Third Round Table Conference.
1933,January 30: Adolf Hitler becomes Chancellor of Germany.
1933,March 4: Franklin D. Roosevelt is inaugurated as President of the United States
1933,March 27: Japan announces it will leave the League of Nations.
1933,"October 14: Germany announces its withdrawal from the League of Nations and the World Disarmament Conference, after the U.S., the U.K. and France deny its request to increase its defense armaments under the Versailles Treaty."
1933,December 5: Prohibition in the United States is abolished.
1933,New Deal begins in America.
1933,United States occupation of Nicaragua ends.
1934,February 12 – 15: The Austrian Civil War results in Fascist victory.
1934,March 24: The United States grants more autonomy to the Philippines.
1934,May 23: Bonnie and Clyde are shot to death in a police ambush.
1934,"June 30 – July 2: Adolf Hitler instigates the Night of the Long Knives, which cements his power over both the Nazi Party and Germany."
1934,July 22: John Dillinger is gunned down by the FBI outside the Biograph Theater.
1934,"July 25: Engelbert Dollfuss, Chancellor of Austria, is shot dead as part of a failed Nazi coup d'état."
1934,August 1: The United States occupation of Haiti ends.
1934,"August 2: With the death of Paul von Hindenburg, Hitler declares himself Führer of Germany."
1934,October 16: Mao Zedong begins the Long March.
1934,November: David Toro overthrows the government of Bolivia in a military coup.
1935,May 31: Establishment of 20th Century Fox.
1935,"March 21: Reza Shah of Iran asks the international community to formally adopt the name ""Iran"" to refer to the country, instead of the name ""Persia""."
1935,June 12: Chaco War ends.
1935,September 15: Enactment of the Nuremberg racial laws.
1935,October 3: The Second Italo-Ethiopian War begins and goes until February 1937. It includes events such as the exile of Haile Selassie and the conquest of Abyssinia by Benito Mussolini.
1936,January 20: Edward VIII becomes King of the British Commonwealth and Emperor of India.
1936,May 9: Italy annexes Ethiopia.
1936,July 17: Beginning of the Spanish Civil War.
1936,"September 7: ""Benjamin"", the last known thylacine, dies in Hobart Zoo."
1936,October 31: Boy Scouts of the Philippines is founded.
1936,"December 11: After a reign shorter than one year, Edward VIII abdicates and hands the throne to his brother, George VI."
1936,The Hoover Dam is completed.
1936,Great Purge begins under Stalin.
1936,1936–1939 Arab revolt in Palestine against the British begins to oppose Jewish immigration.
1936,George Nissen and Larry Griswold build the first modern trampoline.
1937,"May 6: German zeppelin Hindenburg crashes in Lakehurst, New Jersey, ending the airship era."
1937,May 28: Neville Chamberlain becomes Prime Minister of the United Kingdom.
1937,"July 7: Japanese invasion of China, and the beginning of World War II in the Far East."
1937,August 28: Toyota founded in Japan by Kiichiro Toyoda.
1937,September 21: J. R. R. Tolkien publishes The Hobbit.
1937,"December 13: The Nanjing Massacre begins, ending about a month later in January 1938. It results in from 40,000 to 300,000 deaths according to various estimates."
1937,December 21: Snow White and the Seven Dwarfs is the first feature-length animated movie released.
1937,The Irish Republican Army attempts to assassinate King George VI.
1937,Volkswagen founded by the German Labour Front.
1938,March 12: Anschluss unifies Germany and Austria.
1938,April 18: DC Comics hero Superman has its first appearance.
1938,"June 15: Hungarian newspaper editor László Bíró fills a British patent of the first commercially successful ballpoint pen. This would popularize the instrument, currently the most widely used for writing, after World War II."
1938,July 6–15: Évian Conference ends with all attendee nations save the Dominican Republic refusing to accept more Jewish refugees from the Third Reich.
1938,September 30: Munich Agreement hands Czechoslovakia to Nazi Germany.
1938,"November 9 – 10: Kristallnacht, a pogrom of over 90 Jews in Germany."
1938,December: Time Magazine declares Adolf Hitler as Man of the Year.
1938,"The Great Purge ends after nearly 700,000 executions."
1939,March 2: Pius XII becomes Pope.
1939,April 1: End of Spanish Civil War; Francisco Franco becomes dictator of Spain.
1939,August 23: The Molotov–Ribbentrop Pact between Germany and the Soviet Union.
1939,August 25: Metro-Goldwyn-Mayer releases The Wizard of Oz.
1939,September 1 – October: Nazi invasion of Poland triggers World War II in Europe. Soviet invasion of Poland begins 16 days later.
1939,September 3: Britain and France declare war on Germany; World War II begins.
1939,"September 13: Ferrari founded in Modena, Italy (as Auto Avio Costruzioni) by Enzo Ferrari."
1939,The Palestinian revolt against the British ends.
1940,January: Chechen insurgency begins in Soviet Union.
1940,March 13: The Winter War between Soviet Union and Finland ends with a costly victory for the USSR.
1940,April – May: The Katyn massacre of Polish soldiers in USSR and the Soviet occupation of the Baltic states.
1940,May 10: Winston Churchill becomes Prime Minister of the United Kingdom.
1940,"May 15: McDonald's founded in San Bernardino, California."
1940,"May – June: Nazis invade Denmark and Norway, followed by Belgium, the Netherlands and France; their governments (except Denmark) are exiled to the United Kingdom."
1940,June: The Soviet Union annexes the Baltic states.
1940,"July – October: Battle of Britain, the first entirely aerial military campaign, becomes the first significant defeat for the Axis powers."
1940,August 20: Leon Trotsky is assassinated in Mexico.
1940,"September 7: The Blitz, a German bombing campaign against the United Kingdom, begins."
1940,Neptunium is synthesized.
1941,June – December: Hitler commences the Nazi invasion of the Soviet Union.
1941,June 25: Continuation War between Finland and the Soviet Union begins. Siege of Tobruk in North Africa is the first major defeat for Hitler's land forces.
1941,September 8: Siege of Leningrad begins.
1941,October: Operation Reinhard commences the main phase of The Holocaust.
1941,December 7: The Japanese Attack on Pearl Harbor leads to the USA joining World War II.
1941,Mount Rushmore construction ends.
1942,April 9: Bataan Death March.
1942,May 4 – 8: Battle of the Coral Sea.
1942,May 5 – 6: Battle of Corregidor.
1942,June 4 – 7: Battle of Midway.
1942,July 1 – 27: First Battle of El Alamein.
1942,"August: Battle of Stalingrad and Guadalcanal Campaign begin.
Internment of Japanese-American citizens in the US begins."
1942,Internment of Japanese-American citizens in the US begins.
1942,August 13: Release date of Disney's Bambi.
1942,October–November: Second Battle of El Alamein.
1942,The Manhattan Project begins.
1942,Internment of Japanese-American citizens in the US begins.
1943,January 15: The Pentagon is completed.
1943,February 2: Battle of Stalingrad ends with over two million casualties and the retreat of the German Army.
1943,April – May: Warsaw Ghetto uprising fails.
1943,May 15: American Broadcasting Company (ABC) founded in New York City.
1943,July – August: The failed Battle of Kursk becomes the last Nazi offensive on the Eastern Front.
1943,October 14: José P. Laurel takes the oath of office as President of the Second Philippine Republic.
1943,"November – December: Tehran Conference between Franklin Roosevelt, Winston Churchill and Joseph Stalin agrees to launch Operation Overlord."
1943,A famine in Bengal kills up to 3 million people.
1944,January 27: The Siege of Leningrad ends with Soviet victory after over a million deaths.
1944,February – March: Chechen insurgency ends with deportation of the entire Chechen population.
1944,"June 1: First operational electronic computer, Colossus, comes online."
1944,June 6: D-Day landings in Normandy.
1944,"June – August: Soviet forces launch Operation Bagration on the Eastern Front, the biggest defeat in German military history."
1944,July 20: Adolf Hitler survives the 20 July plot to assassinate him led by Claus von Stauffenberg.
1944,August 19 – 25: Liberation of Paris.
1944,September 19: The Continuation War ends.
1944,October – December: American and Filipino troops begin the Battle of Leyte in the Philippines.
1945,February 4 – 11: Yalta Conference.
1945,February 13 – 15: Allied bombing of Dresden.
1945,February: Death of Anne Frank.
1945,February 3 – March 3: Battle of Manila.
1945,March – July: Battle of Okinawa.
1945,April 12: Death of Franklin D. Roosevelt; Vice President Harry Truman assumes office as President of the United States.
1945,April – May: Battle of Berlin.
1945,April 28: Execution of Benito Mussolini.
1945,April 30: The Suicide of Adolf Hitler in Berlin as Nazi Germany collapses.
1945,"May: End of World War II in Europe.
The Holocaust ends after ~12 million deaths, including 6 million Jews."
1945,"The Holocaust ends after ~12 million deaths, including 6 million Jews."
1945,June 26: United Nations founded (UN Charter).
1945,July 26: Clement Attlee becomes Prime Minister of the United Kingdom.
1945,July – August: The Potsdam Conference divides Europe into Western and Soviet blocs.
