Date,Event Description
1918,Mutawakkilite Kingdom of Yemen founded.
1918,Partition of the Ottoman Empire begins.
1918,"Independence declared in the West Ukrainian People's Republic.
The Polish–Ukrainian War begins."
1918,declared in the West Ukrainian People's Republic.
1918,Polish–Ukrainian War begins.
1918,Abdication of Wilhelm II.
1918,"The Armistice of 11 November 1918 ends World War I.
Poland declares independence from Russia."
1918,Armistice of 11 November 1918 ends World War I.
1918,declares independence from Russia.
1918,"The Kingdom of Iceland, a personal union with Denmark, is formed."
1918,British occupy Palestine.
1918,Mutawakkilite Kingdom of Yemen founded.
1918,Partition of the Ottoman Empire begins.
1918,declared in the West Ukrainian People's Republic.
1918,Polish–Ukrainian War begins.
1918,Armistice of 11 November 1918 ends World War I.
1918,declares independence from Russia.
1919,Peace Conference writes Treaty of Versailles that punishes Germany.
1919,The First Red Scare in the United States. Irish War of Independence begins.
1919,Polish–Soviet War begins.
1919,Communist International established in the Kremlin to coordinate Communist parties worldwide.
1919,The International Labour Organization is established.
1919,"The Jallianwala Bagh massacre in northern India: Acting Brigadier-General Reginald Dyer orders troops of the British Indian Army to fire their rifles into a crowd of unarmed Indian civilians, killing from 379 to 1,000 people and injuring another 1,500."
1919,Turkish War of Independence begins.
1919,The Treaty of Versailles redraws European borders.
1919,The 1919 Egyptian revolution erupts.
1919,End of Polish–Ukrainian War.
1919,German Revolution ends with the collapse of the German Empire and the establishment of the Weimar Republic.
1919,"Release date of Feline Follies, the first appearance of Felix the Cat (then known as Master Tom)."
1919,experimental evidence for the General theory of relativity obtained by Arthur Eddington.
1919,Rutherford discovers the proton.
1920,League of Nations founded.
1920,Prohibition in the United States begins.
1920,Victory for Estonia in the Estonian War of Independence.
1920,Mandatory Palestine established.
1920,– 28: Red Army invasion of Azerbaijan and Armenia ends the Armenian–Azerbaijani War and concludes with their incorporation into the Soviet Union.
1920,Mahatma Gandhi launches Non-cooperation movement.
1920,Mexican Revolution ends.
1920,restores its monarchy after a referendum.
1921,famine of 1921–1922 begins.
1921,"Premiere of the science-fiction play R.U.R. (Rossum's Universal Robots), in which the word ""robot"" was first used."
1921,Russia invades Georgia and incorporates it into the Soviet Union.
1921,Warren G. Harding is inaugurated as President of the United States.
1921,End of the Polish–Soviet War.
1921,Adolf Hitler becomes Führer of the Nazi Party as hyperinflation in the Weimar Republic begins.
1921,The Italian National Fascist Party is established by Benito Mussolini.
1921,End of the Ukrainian–Soviet War.
1921,Coup brings the Pahlavi dynasty to power in Iran.
1922,James Joyce publishes Ulysses.
1922,"Pius XI becomes Pope.
The Washington Naval Treaty is signed."
1922,XI becomes Pope.
1922,Washington Naval Treaty is signed.
1922,"Egypt gains independence from the United Kingdom, though British forces still occupy the Suez Canal."
1922,The Irish Civil War begins.
1922,Conservative Bonar Law becomes Prime Minister of the United Kingdom.
1922,March on Rome brings Benito Mussolini to power in Italy.
1922,Ottoman Sultanate abolished by the Grand National Assembly of Turkey; Sultan Mehmed VI is deposed.
1922,Howard Carter discovers the Tomb of Tutankhamun.
1922,British Broadcasting Corporation (BBC) established.
1922,"Irish Free State is established, while the Province of Northern Ireland is created within The United Kingdom."
1922,"Gabriel Narutowicz, President of Poland, is assassinated."
1922,"The Union of Soviet Socialist Republics (USSR), the world's first officially Communist state, is formed."
1922,"union of Costa Rica, Guatemala, Honduras and El Salvador is dissolved."
1922,Gandhi calls off Non-cooperation movement.
1922,XI becomes Pope.
1922,Washington Naval Treaty is signed.
1923,The Italian reconquest of Libya begins.
1923,Time Magazine is first published.
1923,Stanley Baldwin becomes Prime Minister of the United Kingdom.
1923,The Irish Civil War ends.
1923,A military coup ousts and kills Bulgarian Prime Minister Aleksandar Stamboliyski.
1923,End of Russian Civil War.
1923,Death of Warren G. Harding; Vice President Calvin Coolidge assumes office as President of the United States.
1923,"The Great Kantō earthquake kills at least 105,000 people in Japan."
1923,Turkish War of Independence ends; Ankara replaces Istanbul as its capital.
1923,The Walt Disney Company is founded.
1923,Mustafa Kemal Atatürk becomes the first President of the newly established Republic of Turkey.
1923,"The Beer Hall Putsch, an attempt to overthrow the Weimar Republic, ends in failure and brief imprisonment for Adolf Hitler but brings the Nazi Party to national attention."
1923,Hyperinflation in the Weimar Republic ends with the introduction of the Rentenmark.
1924,The death of Vladimir Lenin triggers power struggle between Leon Trotsky and Joseph Stalin.
1924,Ramsay MacDonald becomes Prime Minister of the United Kingdom; first Labour Party prime minister.
1924,"5: The first edition of the Winter Olympic Games is hosted in Chamonix, France."
1924,Rhapsody in Blue by George Gershwin premieres in New York City.
1924,The Caliphate is abolished by Kemal Atatürk.
1924,"Immigration Act of 1924 significantly restricts immigration from Asia, the Middle East, and Southern Europe to USA."
1924,The August Uprising in Georgia against Soviet rule.
1924,Conservative Stanley Baldwin becomes Prime Minister of the United Kingdom.
1925,Benito Mussolini delivers a speech to begin his dictatorship.
1925,First televisual image introduced by John Logie Baird.
1925,Hitler's Mein Kampf is published.
1925,– 16: Locarno Treaties signed.
1925,conquest of Hejaz.
1925,run to Nome.
1926,– 14: May Coup in Poland.
1926,28 May 1926 coup d'état in Portugal.
1926,National Broadcasting Company (NBC) founded in New York City.
1926,"The Kuomintang begins the Northern Expedition, a military unification campaign in northern China."
1926,General Georgios Kondylis overthrows General Theodoros Pangalos in Greece.
1926,"Emperor Taishō dies; his son, the Emperor Shōwa (Hirohito) becomes Emperor of Japan."
1927,The BBC is granted a Royal charter in the United Kingdom.
1927,The Parliament of Australia convenes in Canberra for the first time.
1927,The United Kingdom of Great Britain and Ireland officially becomes the United Kingdom of Great Britain and Northern Ireland.
1927,"The Bath School disaster, a series of violent attacks by Andrew Kehoe results in 45 deaths in Michigan, USA."
1927,Saudi Arabia gains independence.
1927,– 21: Charles Lindbergh performs the first nonstop flight from New York City to Paris; becomes a world hero.
1927,The Chinese Civil War begins.
1927,Columbia Broadcasting System (CBS) founded in New York City.
1927,"Mount Rushmore construction begins in South Dakota, U.S."
1927,"The Jazz Singer, the first ""talkie"", is released."
1927,Soviet general secretary Joseph Stalin becomes dictator of the Soviet Union.
1927,population reaches two billion.
1928,Hassan al-Banna founds the Muslim Brotherhood.
1928,The Kellogg–Briand Pact is signed in Paris.
1928,King Zog I is crowned in Albania.
1928,Accidental rediscovery of penicillin by Alexander Fleming.
1928,Afghan Civil War (1928–1929) begins.
1928,"Steamboat Willie, is the first appearance of Mickey Mouse."
1928,The Warlord Era ends in China.
1928,becomes a British Dominion.
1928,famine of 1928–1930 begins.
1928,gum is invented.
1929,Leon Trotsky is exiled.
1929,"Pope Pius XI signs the Lateran Treaty with Italian leader Benito Mussolini, after which the Vatican City is recognised as a sovereign state."
1929,"Saint Valentine's Day Massacre, the murder of seven members and associates of Chicago's North Side Gang."
1929,Herbert Hoover is inaugurated as President of the United States.
1929,The first Academy Awards are presented.
1929,Ramsay MacDonald becomes Prime Minister of the United Kingdom.
1929,– 29: Wall Street Crash of 1929 and the beginning of the Great Depression.
1929,people sent to the gulag in the Soviet Union as Stalin assumes effective control.
1930,Clyde Tombaugh discovers Pluto.
1930,Salt March by Mohandas Gandhi and the official start of civil disobedience in British India.
1930,Haile Selassie becomes Emperor of Abyssinia.
1930,"Sinkin' in the Bathtub, the first Looney Tunes short, is released."
1930,Construction of Chrysler Building completed.
1930,"King Kullen, widely regarded as the first supermarket, opens in Queens, New York City."
1930,"Aided by the Great Depression, the Nazi Party increases its share of the vote from 2.6% to 18.3%."
1930,"First Round Table Conference between India and Great Britain, which goes until January 1931."
1930,The Vargas Era begins in Brazil.
1930,famine of 1930–1933 and Holodomor begin.
1931,Vatican Radio first began broadcasting.
1931,"The Star-Spangled Banner"" is adopted as the United States's national anthem."
1931,The Second Spanish Republic is declared.
1931,Empire State Building completed.
1931,Floods in China kill up to 2.5 million people.
1931,"Japan invades Manchuria, part of the chain of events leading to the start of World War II."
1931,"Clyde Pangborn and Hugh Herndon Jr. complete the first non-stop flight across the Pacific Ocean in their plane, Miss Veedol, in 41½ hours."
1931,The Chinese Soviet Republic is proclaimed by Mao Zedong.
1931,"Statute of Westminster creates the British Commonwealth of Nations.
Independence of South Africa."
1931,of Westminster creates the British Commonwealth of Nations.
1931,of South Africa.
1931,Christ the Redeemer completed.
1931,of Westminster creates the British Commonwealth of Nations.
1931,of South Africa.
1932,Lindbergh kidnapping.
1932,Éamon de Valera becomes President of the Executive Council (prime minister) of the Irish Free State.
1932,Military coup in Chile.
1932,Siamese Revolution establishes a constitutional monarchy.
1932,The Chaco War between Bolivia and Paraguay begins.
1932,"Failed Emu War in Australia.
Third Round Table Conference."
1932,Round Table Conference.
1932,BBC World Service starts broadcasting.
1932,neutron is discovered by James Chadwick.
1932,Nazi party becomes the largest single party in the German parliament.
1932,Round Table Conference.
1933,Adolf Hitler becomes Chancellor of Germany.
1933,Franklin D. Roosevelt is inaugurated as President of the United States
1933,Japan announces it will leave the League of Nations.
1933,"Germany announces its withdrawal from the League of Nations and the World Disarmament Conference, after the U.S., the U.K. and France deny its request to increase its defense armaments under the Versailles Treaty."
1933,Prohibition in the United States is abolished.
1933,Deal begins in America.
1933,States occupation of Nicaragua ends.
1934,– 15: The Austrian Civil War results in Fascist victory.
1934,The United States grants more autonomy to the Philippines.
1934,Bonnie and Clyde are shot to death in a police ambush.
1934,"2: Adolf Hitler instigates the Night of the Long Knives, which cements his power over both the Nazi Party and Germany."
1934,John Dillinger is gunned down by the FBI outside the Biograph Theater.
1934,"Engelbert Dollfuss, Chancellor of Austria, is shot dead as part of a failed Nazi coup d'état."
1934,The United States occupation of Haiti ends.
1934,"With the death of Paul von Hindenburg, Hitler declares himself Führer of Germany."
1934,Mao Zedong begins the Long March.
1934,David Toro overthrows the government of Bolivia in a military coup.
1935,Establishment of 20th Century Fox.
1935,"Reza Shah of Iran asks the international community to formally adopt the name ""Iran"" to refer to the country, instead of the name ""Persia""."
1935,Chaco War ends.
1935,Enactment of the Nuremberg racial laws.
1935,The Second Italo-Ethiopian War begins and goes until February 1937. It includes events such as the exile of Haile Selassie and the conquest of Abyssinia by Benito Mussolini.
1936,Edward VIII becomes King of the British Commonwealth and Emperor of India.
1936,Italy annexes Ethiopia.
1936,Beginning of the Spanish Civil War.
1936,"Benjamin"", the last known thylacine, dies in Hobart Zoo."
1936,Boy Scouts of the Philippines is founded.
1936,"After a reign shorter than one year, Edward VIII abdicates and hands the throne to his brother, George VI."
1936,Hoover Dam is completed.
1936,Purge begins under Stalin.
1936,1936–1939 Arab revolt in Palestine against the British begins to oppose Jewish immigration.
1936,Nissen and Larry Griswold build the first modern trampoline.
1937,"German zeppelin Hindenburg crashes in Lakehurst, New Jersey, ending the airship era."
1937,Neville Chamberlain becomes Prime Minister of the United Kingdom.
1937,"Japanese invasion of China, and the beginning of World War II in the Far East."
1937,Toyota founded in Japan by Kiichiro Toyoda.
1937,J. R. R. Tolkien publishes The Hobbit.
1937,"The Nanjing Massacre begins, ending about a month later in January 1938. It results in from 40,000 to 300,000 deaths according to various estimates."
1937,Snow White and the Seven Dwarfs is the first feature-length animated movie released.
1937,Irish Republican Army attempts to assassinate King George VI.
1937,founded by the German Labour Front.
1938,Anschluss unifies Germany and Austria.
1938,DC Comics hero Superman has its first appearance.
1938,"Hungarian newspaper editor László Bíró fills a British patent of the first commercially successful ballpoint pen. This would popularize the instrument, currently the most widely used for writing, after World War II."
1938,–15: Évian Conference ends with all attendee nations save the Dominican Republic refusing to accept more Jewish refugees from the Third Reich.
1938,Munich Agreement hands Czechoslovakia to Nazi Germany.
1938,"– 10: Kristallnacht, a pogrom of over 90 Jews in Germany."
1938,Time Magazine declares Adolf Hitler as Man of the Year.
1938,"Great Purge ends after nearly 700,000 executions."
1939,Pius XII becomes Pope.
1939,End of Spanish Civil War; Francisco Franco becomes dictator of Spain.
1939,The Molotov–Ribbentrop Pact between Germany and the Soviet Union.
1939,Metro-Goldwyn-Mayer releases The Wizard of Oz.
1939,Nazi invasion of Poland triggers World War II in Europe. Soviet invasion of Poland begins 16 days later.
1939,Britain and France declare war on Germany; World War II begins.
1939,"Ferrari founded in Modena, Italy (as Auto Avio Costruzioni) by Enzo Ferrari."
1939,Palestinian revolt against the British ends.
1940,Chechen insurgency begins in Soviet Union.
1940,The Winter War between Soviet Union and Finland ends with a costly victory for the USSR.
1940,The Katyn massacre of Polish soldiers in USSR and the Soviet occupation of the Baltic states.
1940,Winston Churchill becomes Prime Minister of the United Kingdom.
1940,"McDonald's founded in San Bernardino, California."
1940,"Nazis invade Denmark and Norway, followed by Belgium, the Netherlands and France; their governments (except Denmark) are exiled to the United Kingdom."
1940,The Soviet Union annexes the Baltic states.
1940,"Battle of Britain, the first entirely aerial military campaign, becomes the first significant defeat for the Axis powers."
1940,Leon Trotsky is assassinated in Mexico.
1940,"The Blitz, a German bombing campaign against the United Kingdom, begins."
1940,is synthesized.
1941,Hitler commences the Nazi invasion of the Soviet Union.
1941,Continuation War between Finland and the Soviet Union begins. Siege of Tobruk in North Africa is the first major defeat for Hitler's land forces.
1941,Siege of Leningrad begins.
1941,Operation Reinhard commences the main phase of The Holocaust.
1941,The Japanese Attack on Pearl Harbor leads to the USA joining World War II.
1941,Rushmore construction ends.
1942,Bataan Death March.
1942,– 8: Battle of the Coral Sea.
1942,– 6: Battle of Corregidor.
1942,– 7: Battle of Midway.
1942,– 27: First Battle of El Alamein.
1942,"Battle of Stalingrad and Guadalcanal Campaign begin.
Internment of Japanese-American citizens in the US begins."
1942,of Japanese-American citizens in the US begins.
1942,Release date of Disney's Bambi.
1942,–November: Second Battle of El Alamein.
1942,Manhattan Project begins.
1942,of Japanese-American citizens in the US begins.
1943,The Pentagon is completed.
1943,Battle of Stalingrad ends with over two million casualties and the retreat of the German Army.
1943,Warsaw Ghetto uprising fails.
1943,American Broadcasting Company (ABC) founded in New York City.
1943,The failed Battle of Kursk becomes the last Nazi offensive on the Eastern Front.
1943,José P. Laurel takes the oath of office as President of the Second Philippine Republic.
1943,"Tehran Conference between Franklin Roosevelt, Winston Churchill and Joseph Stalin agrees to launch Operation Overlord."
1943,famine in Bengal kills up to 3 million people.
1944,The Siege of Leningrad ends with Soviet victory after over a million deaths.
1944,Chechen insurgency ends with deportation of the entire Chechen population.
1944,"First operational electronic computer, Colossus, comes online."
1944,D-Day landings in Normandy.
1944,"Soviet forces launch Operation Bagration on the Eastern Front, the biggest defeat in German military history."
1944,Adolf Hitler survives the 20 July plot to assassinate him led by Claus von Stauffenberg.
1944,– 25: Liberation of Paris.
1944,The Continuation War ends.
1944,American and Filipino troops begin the Battle of Leyte in the Philippines.
1945,– 11: Yalta Conference.
1945,– 15: Allied bombing of Dresden.
1945,Death of Anne Frank.
1945,3: Battle of Manila.
1945,Battle of Okinawa.
1945,Death of Franklin D. Roosevelt; Vice President Harry Truman assumes office as President of the United States.
1945,Battle of Berlin.
1945,Execution of Benito Mussolini.
1945,The Suicide of Adolf Hitler in Berlin as Nazi Germany collapses.
1945,"End of World War II in Europe.
The Holocaust ends after ~12 million deaths, including 6 million Jews."
1945,"Holocaust ends after ~12 million deaths, including 6 million Jews."
1945,United Nations founded (UN Charter).
1945,Clement Attlee becomes Prime Minister of the United Kingdom.
1945,The Potsdam Conference divides Europe into Western and Soviet blocs.
1945,– 9: Harry S. Truman orders the atomic bombings of Hiroshima and Nagasaki.
1945,Victory over Japan Day.
1945,Independence of Indonesia proclaimed begin Indonesian National Revolution.
1945,"End of World War II in Asia with the beginning of the Surrender of Japan.
Related subsequent announcement of the Proclamation of Independence of the Democratic Republic of Vietnam."
1945,subsequent announcement of the Proclamation of Independence of the Democratic Republic of Vietnam.
1945,"The microwave cooking oven is patented, with the one of the first prototypes placed at a Boston restaurant for testing."
1945,"In Brazil, Getúlio Vargas is deposed in a coup."
1945,"Holocaust ends after ~12 million deaths, including 6 million Jews."
1945,subsequent announcement of the Proclamation of Independence of the Democratic Republic of Vietnam.
1946,Chinese Civil War resumes between Communist and Nationalist forces.
1946,Independence of Jordan.
1946,Greek Civil War begins.
1946,Italy becomes a republic.
1946,Bhumibol Adulyadej becomes King of Thailand.
1946,The Treaty of Manila declares Philippines independent.
1946,Mustafa Barzani founds the Kurdistan Democratic Party.
1946,1: Nuremberg trials end.
1946,French Fourth Republic established.
1946,First Indochina War begins.
1946,images of the Earth taken from space.
1947,Harry Truman establishes the Truman Doctrine of containment of Communism.
1947,Jackie Robinson becomes the first African American baseball player to play modern Major League Baseball.
1947,Creation of the U.S. Central Intelligence Agency.
1947,– 15: Partition of India. Independence of India and Pakistan and beginning of First Indo-Pakistani War.
1947,"Three Bell Labs engineers give the first public demonstration of the transistor, an electrical component that could control, amplify, and generate current."
1947,of the sound barrier by Chuck Yeager in Bell X-1.
1947,"Group founded by  Chung Ju-yung in Seoul, South Korea."
1948,Assassination of Mahatma Gandhi.
1948,Independence of Burma and Ceylon (Sri Lanka) from Britain.
1948,"The Marshall Plan, an American initiative for foreign aid of $13 billion to 16 Western European countries, comes into effect."
1948,The World Health Organization (WHO) founded.
1948,The Organisation for Economic Co-operation and Development (OECD) founded.
1948,The Soviet Sever-2 expedition become the first party to indisputably set foot on the North Pole.
1948,United Nations establishes Israeli Independence and the formation of the official State of Israel.
1948,The Arab–Israeli War begins.
1948,Berlin Blockade begins.
1948,Division of North and South Korea.
1948,"Honda founded in Hamamatsu, Japan by Soichiro Honda and Takeo Fujisawa."
1948,The Universal Declaration of Human Rights adopted by the United Nations General Assembly.
1948,of apartheid in South Africa.
1949,The First Indo-Pakistani War ends.
1949,– 8: COMECON founded by USSR and the Eastern Bloc.
1949,The Arab–Israeli War ends.
1949,The Creation of NATO.
1949,Berlin Blockade ends.
1949,Creation of NATO-backed Federal Republic of Germany (West Germany).
1949,George Orwell publishes Nineteen Eighty-Four.
1949,Albert II became the first mammal launched into space
1949,Chinese Communist Revolution: Establishment of the People's Republic of China under CCP Chairman Mao Zedong; The Republic of China relocates to Taiwan.
1949,Creation of the socialist German Democratic Republic (East Germany).
1949,of Kashmir.
1949,Union tests an atomic bomb.
1950,The Constitution of India comes into effect.
1950,Release date of Disney's Cinderella.
1950,North Korean invasion of South Korea begins the Korean War.
1950,The Bodo League Massacre of prisoners during the Korean War.
1950,"North Korean forces capture most of Korea, to the Pusan Perimeter."
