label,start,end,country1,country2,country3,country4,country5,country6,country7
Angolan Civil War,1975,1975,Angola,,,,,,
Cambodian–Vietnamese War,1977,1989,Cambodia,Vietnam,,,,,
Ogden War,1977,1977,Cuba,Ethiopia,Somalia,South Yemen,Soviet Union,,
Chadian–Libyan War,1978,1987,Chad,Libya,,,,,
Afghan conflict,1978,1978,Afghanistan,,,,,,
Uganda–Tanzania War,1978,1978,Tanzania,Uganda,,,,,
Sino-Vietnamese War,1979,1979,China,Vietnam,,,,,
Salvadoran Civil War,1979,1992,El Salvador,,,,,,
Soviet–Afghan War,1979,1979,Afghanistan,Soviet Union,,,,,
Iran–Iraq War,1980,1980,Iran,Iraq,,,,,
Falklands War,1982,1982,Argentina,United Kingdom,,,,,
1982 Lebanon War,1982,1982,Lebanon,,,,,,
Sri Lankan civil war,1983,1983,Sri Lanka,,,,,,
First Nagorno-Karabakh War,1988,1988,Armenia,Azerbaijan,Caucasus,Israel,Soviet Union,,
Romanian Revolution (1989),1989,1989,Oman,Romania,,,,,
Gulf War,1990,1990,Egypt,France,Iraq,Kuwait,Saudi Arabia,United Kingdom,United States
Rwandan Civil War,1990,1990,Rwanda,,,,,,
Somali Civil War,1991,1991,Mali,,,,,,
Sierra Leone Civil War,1991,1991,Sierra Leone,,,,,,
Croatian War of Independence,1991,1995,Croatia,,,,,,
1991-92 Georgian coup d'état,1991,1992,Georgia,,,,,,
Algerian Civil War,1992,1992,Algeria,,,,,,
War in Bosnia and Herzegovina,1992,1992,Bosnia and Herzegovina,,,,,,
Afghan Civil War,1992,1992,Afghanistan,,,,,,
Croat–Bosniak War,1992,1992,Bosnia and Herzegovina,Croatia,,,,,
War in Abkhazia,1992,1992,Abkhazia,,,,,,
First Chechen War,1994,1996,Chechnya,Russia,,,,,
Kosovo War,1998,1998,Kosovo,,,,,,
Second Congo War,1998,2003,Congo,,,,,,
Kargil War,1999,1999,India,Pakistan,,,,,
Second Chechen War,1999,1999,Chechnya,Russia,,,,,
War on Terror,2001,2001,,,,,,,
War in Afghanistan,2001,2015,Afghanistan,,,,,,
Insurgency in the Maghreb (2002–),2002,2002,,,,,,,
First Ivorian Civil War,2002,2002,,,,,,,
War in Darfur,2003,2003,,,,,,,
Iraq War,2003,2003,Iraq,,,,,,
insurgency in Khyber Pakhtunkhwa,2004,2004,,,,,,,
Kivu conflict,2004,2004,,,,,,,
2006 Lebanon War,2006,2006,Lebanon,,,,,,
War in Somalia (2006–2009),2006,2006,Mali,Somalia,,,,,
Iraq War troop surge of 2007,2007,2007,Iraq,,,,,,
Russo-Georgian War,2008,2008,Georgia,Russia,,,,,
Gaza War (2008–2009),2008,2008,,,,,,,
Somali Civil War 2009-present,2009,2009,Mali,,,,,,
Revolution of Dignity,2010,2013,,,,,,,
Arab Spring,2010,2010,Israel,,,,,,
First Libyan Civil War,2011,2011,Libya,,,,,,
Islamist insurgency in the Sahel,2011,2011,,,,,,,
Syrian revolution,2011,2011,Syria,,,,,,
Syrian civil war,2011,2011,Syria,,,,,,
Mali War,2012,2012,Mali,,,,,,
Iraqi Civil War of 2014–2017,2014,2014,Iraq,,,,,,
Russo-Ukrainian War,2014,2014,Russia,Ukraine,,,,,
Second Libyan Civil War,2014,2014,Libya,,,,,,
Yemeni civil war,2014,2014,Yemen,,,,,,
